Nom,Adresse,Telephone,Acces,Site,Twitter,Facebook,Linkedin,Latitude,Longitude
My Cowork,"54 rue Greneta, 75002 Paris",01 85 09 08 29,Métro Sentier (ligne 3),http://mycowork.fr/,https://twitter.com/my_cowork,https://www.facebook.com/mycoworkparis,,48.8655286,2.347994
Le 10h10,"210 rue Saint-Martin, 75003 Paris",01 44 49 92 59,"Métro Etienne Marcel (Ligne 4), et Rambuteau (Ligne 11)",http://www.le10h10.com/fr/coworking-cafe/,https://twitter.com/le10h10,https://fr-fr.facebook.com/le10h10/,,48.8635514,2.3527513
Hubsy,"41 Rue Réaumur, 75003 Paris",01 43 56 89 80,Métro Arts et Métiers (ligne 3),https://www.hubsy.fr/,,https://www.facebook.com/hubsycafe/,,48.8657517,2.3543081
The Office,"19 rue Claude Bernard, 75 005 Paris",06 60 77 02 41,Métro Censier – Daubenton (Ligne 7) ou Port-Royal (RER B),https://www.theoffice-paris.com/,,,,48.8391512,2.3486422
Mozaik Coworking,"41 Rue de la Chaussée d’Antin, 75009 Paris",06 42 63 79 34,"Métro Chaussée d’Antin la Fayette (Lignes 7 et 9), Trinité d’Estienne d’Orves (Ligne 12), et Haussmann – Saint-Lazare (RER A, lignes 3, 9, 12, 13 et 14)",http://www.mozaik-coworking.com/,https://twitter.com/MozaikCoworking,https://www.facebook.com/MozaikCoworking,,48.8749731,2.3323202
BGE PaRIF,"18 Rue du Faubourg du Temple, 75011 Paris",01 43 55 09 48,"Métro République (lignes 3, 5, 8, 9 et 11)",http://www.bge-parif.com/sites/bge/accueil/le-coworking.html,https://twitter.com/BGEPaRIF,https://www.facebook.com/bge.parif,,48.8682932,2.3661301
Cool and Workers,"30-34 rue du Chemin Vert 75011, Paris",01 80 88 48 28,Métro Voltaire (Ligne 9) et Bréguet-Sabin (Ligne 5).,https://www.coolandworkers.com/,,https://fr-fr.facebook.com/coolandworkers/,,48.8583716,2.372928
Greenspace Paris,"28 rue du Chemin Vert, 75 011 Paris",01 43 38 14 51,"Métro Richard-Lenoir ou Bréguet-Sabin (Ligne 5), St-Ambroise (Ligne 9) ou Chemin Vert (Ligne 8)",http://greenspace-paris.com,,https://www.facebook.com/Greenspace.Paris/,,48.8580268,2.3725547
Le Tank,"22 bis rue des Taillandiers, 75011 Paris",01 43 14 71 23,Métro Bréguet-Sabin (ligne 5),https://letank.fr/,https://twitter.com/LeTankParis,https://www.facebook.com/LeTankParis,,48.8551698,2.3748803
PLANET COWORKING,"119 rue du Chemin Vert, 75011 Paris",07 64 50 05 55,Métro Philippe Auguste (ligne 2),http://www.planet-coworking.com,,https://www.facebook.com/Teamplanetcoworking/,,48.8618058,2.3829859
Grand Tour,"30 rue des 3 Bornes, 75011 Paris",01 48 06 85 22,"Métro Parmentier ( ligne 3), Couronnes (ligne 2)",www.grandtour.paris,https://twitter.com/GrandTourParis,https://www.facebook.com/GrandTourParis/,https://www.linkedin.com/company/grandtourparis/,32.7673,-96.7776
